slug_a,slug_b,reason
palm-springs,tucson,desert-sunbelt
palm-springs,las-vegas,desert-sunbelt
tucson,albuquerque,desert-sunbelt
santa-fe,albuquerque,desert-sunbelt
phoenix,las-vegas,big-city;desert-sunbelt
wilton-manors,st-pete,beach-coastal
st-pete,sarasota,beach-coastal
key-west,provincetown,beach-coastal;small-town
provincetown,ogunquit,beach-coastal;small-town
rehoboth,saugatuck,beach-coastal;small-town
wilton-manors,provincetown,beach-coastal
guerneville,saugatuck,beach-coastal;small-town
asheville,santa-fe,mountains-seasons
asheville,denver,mountains-seasons
new-hope,eureka-springs,mountains-seasons;small-town
asheville,eureka-springs,mountains-seasons
austin,denver,big-city
portland,denver,big-city
austin,raleigh-durham,big-city
savannah,rehoboth,small-town
ogunquit,new-hope,small-town
