city_slug,name,month,typical_weeks,url,source,verified_asof
asheville,Blue Ridge Pride Festival,Sep,,https://www.blueridgepride.org/festival,Organizer site; Asheville.com 2026-08-11,2026-09-20
asheville,AVL Stonewall Fest,Jun,,https://avlstonewallfest.org,Asheville.com 2026-06-24; BPR 2026-06-25,2026-09-20
raleigh-durham,"Pride: Durham, NC",Sep,,https://www.lgbtqcenterofdurham.org/program/pride/,Organizer page; Discover Durham guide 2026-09-17,2026-09-20
raleigh-durham,Out! Raleigh Pride,Jun,,https://www.lgbtcenterofraleigh.com/out-raleigh-pride,Organizer page; DoRaleigh 2026-06-23,2026-09-20
raleigh-durham,OutSouth Queer Film Festival,Aug,,https://carolinatheatre.org/outsouth/,Carolina Theatre of Durham,2026-09-20
raleigh-durham,Beaver Queen Pageant,Jun,,https://www.beaverqueen.org/,Organizer site (listed as LGBTQ event by Discover Durham),2026-09-20
savannah,Savannah Pride Festival,Oct,,https://savannahpridecenter.org/pride-2026,Organizer site,2026-09-20
st-pete,Sapphic Pride Week,Oct,,https://www.stpetepride.org/2026-events,Organizer 2026 events page,2026-09-20
sarasota,Gulfcoast Pride Festival & Street Party,Oct,,https://www.ppsrq.org/,Organizer / Eventeny listing,2026-09-20
sarasota,Silver Pride,Jun,,https://www.ppsrq.org/post/silver-pride-2026-celebrated-community-connection-and-belonging,Project Pride SRQ blog,2026-09-20
key-west,Key West Pride,Jun,first week of June,https://gaykeywestfl.com/pride/,WLRN 2026-06-04; Monroe County TDC page,2026-09-20
key-west,Tropical Heat,Aug,,https://gaykeywestfl.com/tropical-heat/,WLRN 2026-06-04,2026-09-20
key-west,Womenfest,Sep,first week of September,https://gaykeywestfl.com/womenfest/,"Greater Key West Chamber, 2026-04-16",2026-09-20
rehoboth,Rehoboth Beach Pride,Jul,mid-July,https://sussexpride.org/rehobothbeach/,Sussex Pride; Cape Gazette 2026-07-16,2026-09-20
rehoboth,Sunfestival,Sep,Labor Day weekend,https://www.camprehoboth.org/,CAMP Rehoboth ticketing page,2026-09-20
provincetown,Carnival,Aug,,https://ptowntourism.com/,Provincetown Office of Tourism,2026-09-20
provincetown,WELLTOWN Weekend,Sep,,https://ptown.org/,Provincetown Business Guild,2026-09-20
provincetown,Mates Leather Weekend,Oct,,https://ptown.org/events,Provincetown Business Guild theme-weeks page,2026-09-20
provincetown,Women's Week,Oct,,https://ptown.org/events,Provincetown Business Guild theme-weeks page,2026-09-20
provincetown,TransWeek,Oct,,https://ptown.org/events,Provincetown Business Guild theme-weeks page,2026-09-20
ogunquit,Ogunquit Pride,Jun,first weekend of June,https://www.ogunquit.org/ogunquit-pride/,Ogunquit Chamber of Commerce,2026-09-20
new-hope,New Hope PrideFest,May,second week of May,https://www.newhopecelebrates.com/pridefest/,New Hope Celebrates,2026-09-20
new-hope,Out In October,Oct,,https://www.newhopecelebrates.com/,New Hope Celebrates homepage,2026-09-20
palm-springs,Palm Springs Pride,Nov,,https://www.pspride.org/,https://www.pspride.org/ ; https://thepalmspringspost.com/greater-palm-springs-pride-names-grand-marshals-for-40th-anniversary-parade/,2026-09-20
