scope,slug_or_code,item,value,party,notes,source_url,asof
city,asheville,mayor,Esther Manheimer,VERIFY,Office is nonpartisan per www.wunc.org; term through December 2026 per city page,https://www.ashevillenc.gov/government/meet-city-council/ ; https://www.wunc.org/2025-09-02/asheville-city-council-member-kim-roney-enters-2026-mayoral-race,2026-04-29
city,asheville,ordinance,"Non-Discrimination Ordinance effective July 1, 2021; covers employment and public accommodations, incl. sexual orientation and gender identity or expression.",,,https://www.ashevillenc.gov/department/human-relations-anti-discrimination-and-compliance/non-discrimination-ordinance/,2026-04-29
city,raleigh-durham,mayor,Janet Cowell (Mayor of Raleigh),VERIFY,Term began 2024 per raleighnc.gov,https://raleighnc.gov/city-council/janet-cowell,2026-05-20
city,raleigh-durham,ordinance,"Durham: municipal SO/GI protection in employment, housing, public accommodations. Raleigh: county-level employment protection only.",,Per HRC Municipal Equality Index 2025 scorecards,https://hrc-prod-requests.s3-us-west-2.amazonaws.com/files/documents/MEI-Scorecard-Assets/MEI-25-Scorecards/MEI-2025-Durham-North-Carolina.pdf ; https://hrc-prod-requests.s3-us-west-2.amazonaws.com/files/documents/MEI-Scorecard-Assets/MEI-25-Scorecards/MEI-2025-Raleigh-North-Carolina.pdf,2025-11-18
city,raleigh-durham,rating,HRC Municipal Equality Index 2025: 98/100 (Durham),,Rating published by the Human Rights Campaign,https://hrc-prod-requests.s3-us-west-2.amazonaws.com/files/documents/MEI-Scorecard-Assets/MEI-25-Scorecards/MEI-2025-Durham-North-Carolina.pdf,2025-11-18
city,raleigh-durham,rating,HRC Municipal Equality Index 2025: 85/100 (Raleigh),,Rating published by the Human Rights Campaign,https://hrc-prod-requests.s3-us-west-2.amazonaws.com/files/documents/MEI-Scorecard-Assets/MEI-25-Scorecards/MEI-2025-Raleigh-North-Carolina.pdf,2025-11-18
city,savannah,mayor,Van R. Johnson II,VERIFY,,https://www.savannahga.gov/388/Office-of-the-Mayor,2026-09-20
city,savannah,ordinance,"HRC 2025 scorecard credits Savannah municipal protection for sexual orientation and gender identity in employment, housing and public accommodations.",,Per HRC Municipal Equality Index 2025 scorecard,https://hrc-prod-requests.s3-us-west-2.amazonaws.com/files/documents/MEI-Scorecard-Assets/MEI-25-Scorecards/MEI-2025-Savannah-Georgia.pdf,2025-11-18
city,savannah,rating,HRC Municipal Equality Index 2025: 80/100,,Rating published by the Human Rights Campaign,https://hrc-prod-requests.s3-us-west-2.amazonaws.com/files/documents/MEI-Scorecard-Assets/MEI-25-Scorecards/MEI-2025-Savannah-Georgia.pdf,2025-11-18
city,st-pete,rating,HRC Municipal Equality Index 2025: 100/100,,Rating published by the Human Rights Campaign,https://hrc-prod-requests.s3-us-west-2.amazonaws.com/files/documents/MEI-Scorecard-Assets/MEI-25-Scorecards/MEI-2025-St-Petersburg-Florida.pdf,2025-11-18
city,sarasota,mayor,Debbie Trice,VERIFY,Office is nonpartisan per www.sarasotafl.gov; commission selects mayor from its members each November,https://www.sarasotafl.gov/Departments/Your-City-Commission,2026-09-20
city,wilton-manors,mayor,Scott Newton,VERIFY,,https://www.wiltonmanors.gov/31/Government,2026-09-20
city,wilton-manors,rating,HRC Municipal Equality Index 2025: 100/100,,Rating published by the Human Rights Campaign,https://hrc-prod-requests.s3-us-west-2.amazonaws.com/files/documents/MEI-Scorecard-Assets/MEI-25-Scorecards/MEI-2025-Wilton-Manors-Florida.pdf,2025-11-18
city,key-west,legislation,"Monroe County announced it will halt public funding for LGBTQ events, including Key West Pride, beginning Jan 1, 2027 (reported June 2026).",,,https://www.metroweekly.com/2026/05/florida-anti-dei-law-key-west-pride-funding/ ; https://www.wlrn.org/arts-culture/2026-06-04/key-west-pride-festival-dei-funding-rainbow,2026-06-04
city,key-west,legislation,"The city Art in Public Places Board approved up to $25,000 in funding for a possible LGBTQ+ mural on Duval Street (Sept 2026).",,,https://www.wlrn.org/arts-culture/2026-09-18/key-west-arts-board-approves-funding-for-possible-lgbtq-mural,2026-09-18
city,rehoboth,mayor,Susan H. Stewart,VERIFY,"City of Rehoboth Beach. Elected Aug 8, 2026; sworn in Sep 18, 2026.",https://www.rehobothbeachde.gov/city-of-rehoboth-beach-annual-reorganization-september-18-2026/ ; https://www.rehobothbeachde.gov/city-of-rehoboth-beach-election-results/,2026-09-18
city,rehoboth,ordinance,"Delaware statewide law covers sexual orientation and gender identity in employment, housing and public accommodations.",,,https://www.mapresearch.org/equality-maps/profile_state/DE,2026-09-20
city,rehoboth,legislation,"Rehoboth Beach reported 2025 changes: enhanced employee non-discrimination protections, transgender-inclusive health benefits, and LGBTQ+ liaisons in police and city manager's offices.",,,https://www.rehobothbeachde.gov/city-of-rehoboth-beach-achieves-perfect-score-on-2025-municipal-equality-index-the-highest-in-the-state-of-delaware/ ; https://www.capegazette.com/article/city-rehoboth-beach-achieves-perfect-score-2025-municipal-equality-index%C2%A0/298481,2025-11-18
city,rehoboth,rating,HRC Municipal Equality Index 2025: 100/100,,Rating published by the Human Rights Campaign,https://hrc-prod-requests.s3-us-west-2.amazonaws.com/files/documents/MEI-Scorecard-Assets/MEI-25-Scorecards/MEI-2025-Rehoboth-Beach-Delaware.pdf,2025-11-18
city,provincetown,mayor,Dave Abramson (Select Board Chair),VERIFY,Provincetown has no mayor; the Select Board Chair is the closest equivalent. Term through 2028 per provincetown-ma.gov.,https://www.provincetown-ma.gov/93/Select-Board ; https://www.provincetown-ma.gov/,2026-09-20
city,provincetown,ordinance,"Massachusetts statewide law covers sexual orientation and gender identity in employment, housing and public accommodations.",,,https://www.mapresearch.org/equality-maps/profile_state/MA,2026-09-20
city,provincetown,rating,HRC Municipal Equality Index 2025: 100/100,,Rating published by the Human Rights Campaign,https://hrc-prod-requests.s3-us-west-2.amazonaws.com/files/documents/MEI-Scorecard-Assets/MEI-25-Scorecards/MEI-2025-Provincetown-Massachusetts.pdf,2025-11
city,ogunquit,ordinance,"Maine statewide law covers sexual orientation and gender identity in employment, housing and public accommodations.",,,https://www.mapresearch.org/equality-maps/profile_state/ME,2026-09-20
