date,scope,slug,headline,source_url
2026-09-20,site,,Home prices refreshed for all 23 places; Wilton Manors and Guerneville values corrected against Zillow.,https://files.zillowstatic.com/research/public_csvs/zhvi/City_zhvi_uc_sfrcondo_tier_0.33_0.67_sm_sa_month.csv
2026-08-11,city,asheville,Blue Ridge Pride expanded its Asheville festival to two days.,https://www.asheville.com/news/2026/08/blue-ridge-pride-expands-its-asheville-festival-to-two-days/
2026-07-07,state,DC,D.C. Council gave final approval to the LGBTQ Community Grant Amendment Act of 2026 within the FY 2027 budget.,https://www.washingtonblade.com/2026/07/22/d-c-council-approves-increased-funding-for-mayors-office-of-lgbtq-affairs/
2026-06-01,state,CO,Colorado HB26-1322 signed: lets people harmed by conversion therapy sue licensed practitioners.,https://leg.colorado.gov/bills/HB26-1322
2026-06-01,city,phoenix,Phoenix Pride filed for Chapter 11 reorganization.,https://www.azfamily.com/2026/06/02/phoenix-pride-enters-chapter-11-attorney-explains-what-comes-next/
2026-05-15,state,SC,"South Carolina H.4756, the Student Physical Privacy Act, signed (Act 152 of 2026).",https://www.scstatehouse.gov/billsearch.php?billnumbers=4756&session=126&summary=B
2026-05-10,city,key-west,Metro Weekly reported that a Florida law will end public funding for Key West Pride events.,https://www.metroweekly.com/2026/05/florida-anti-dei-law-key-west-pride-funding/
2026-04-28,state,PA,Pennsylvania House passed HB 2103 (101-100) to add sexual orientation and gender identity to the Human Relations Act; pending in the Senate.,https://www.palegis.us/legislation/bills/2025/hb2103
2026-04-22,state,FL,"Florida SB 1134 signed: bars counties and municipalities from funding DEI programs, effective 2027-01-01.",https://www.flsenate.gov/Session/Bill/2026/1134
2026-04-14,state,TN,Tennessee HB 754 / SB 676 passed both chambers (Public Chapter 932).,https://wapp.capitol.tn.gov/apps/BillInfo/Default.aspx?BillNumber=HB0754&GA=114
2026-03-26,state,DE,Delaware Executive Order 20 expanded the state LGBTQ+ Commission to fifteen members.,https://news.delaware.gov/2026/03/26/governor-matt-meyer-expands-delaware-lgbtq-commission/
2026-03-04,state,NM,New Mexico SB 40 (Driver Privacy and Safety Act) signed.,https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=40&year=26
2026-01-27,city,tucson,Tucson Pride cancelled its 2026 festival and dissolved its board.,https://www.metroweekly.com/2026/01/tucson-pride-cancels-2026-festival
